Table,Manufacturer,Year,Author,VPW/toolkit,Download,VPS-ID,Date added,Vouched for by,Confidence,"Notes, comments",Comp. Corner,C.C. last played,Rules/Instruction Cards,Tutorials
Dragonfist,Stern,1981,UnclePaulie,,Dragonfist (Stern 1981) - VPX - Pinball Tables - Virtual Pinball Universe,cwjR63kne3,06/01/2025,Kentayeyen,Full,,,06/01/2025,Dragonfist (stern 1981) Instrictions card - Instruction Cards - Virtual Pinball Universe,
Dungeons & Dragons,Bally,1987,RobbyKingPin,,Dungeons and Dragons (Bally 1987) - Modified (MOD) Games - Virtual Pinball Universe,QrU6V1UoUr,15/02/2026,Dstructv,Full,Rollover 10M,,16/02/2026,Dungeons and Dragons (Bally 1987) Instruction Card - Instruction Cards - Virtual Pinball Universe,Dungeons and Dragons (1987)
Earthshaker,Williams,1989,VPW,,Earthshaker (Williams 1989) VPW - VPX - Pinball Tables,crFmm7IfsF,03/06/2024,Colvert,Full,,,27/05/2024,Pinball Archive Rule Sheet: Earthshaker,"""Earthshaker"" - a Virtual Pinball Tutorial"
Eight Ball Deluxe,Bally,1981,Bord,,Eight Ball Deluxe (1981) - VPX - Pinball Tables,q4X09jzf,17/05/2024,Colvert,Full,,,29/04/2024,Pinball Archive Rule Sheet: Eight Ball Deluxe,Eight Ball Deluxe Pinball Tutorial
Elektra ,Bally,1981,UnclePaulie,,Elektra (Bally 1981) w VR Room - VPX - Pinball Tables,1Rsqf2lWzv,28/06/2023,PinStratsDan,Full,,,11/09/2023,"Elektra Owners Club & Restorations, Fans Also Welcome | All clubs (...members only!) | Pinside.com",
Elvis ,Stern,2004,Chokeee,,Elvis (Stern 2004) MOD 2.0 - VPX - Pinball Tables,VBiGyjgZ,28/06/2023,PinStratsDan,Full,,,13/02/2023,elvis,1981 Bally Elektra Pinball Tutorial / Gameplay. 1st 3 level Machine!
Embryon,Bally,1981,UnclePaulie,,Embryon (Bally 1981) w VR Room - VPX - Pinball Tables,pYinRfnhfG,03/09/2023,Primetime5k,Full,,,19/05/2025,Embryon - Pinball Rules,Embryon Pinball Tutorial & Gameplay (Bally 1981)
F-14 Tomcat,Williams,1987,VPW,,F-14 Tomcat (Williams 1987) VPW Mod - VPX - Pinball Tables - Virtual Pinball Universe,YsQs-_ejWL,16/01/2025,Wolfanoz,Full,Rollovered on original physics,,16/12/2024,F-14 Tomcat (1987),How to play F14
Fathom ,Bally,1981,UnclePaulie,,Fathom (Bally 1981) w VR Room - VPX - Pinball Tables,-cNcV9KV,27/09/2023,lminimart,Full,,,08/07/2024,Fathom Revisited Rulesheet,Fathom Pinball Tutorial
Fish Tales,Williams,1992,VPW,,Fish Tales VPW - VPX - Pinball Tables,9FuFBUxfy8,06/02/2024,Colvert,Full,,,05/02/2024,Fish Tales - Pinball Archive Rule Sheet,Fish Tales Pinball Tutorial - YouTube
